timestamp,download_mbps,upload_mbps,ping_ms
2025-11-03T01:21:58,469.8,34.33,20.15
2025-11-03T01:22:50,428.07,29.72,13.52
2025-11-03T01:23:44,480.92,36.75,14.164
2025-11-03T01:24:32,390.84,29.97,17.764
2025-11-03T01:25:22,486.49,31.77,14.948
2025-11-03T01:26:12,485.31,37.54,34.958
2025-11-03T01:26:59,452.72,33.49,19.335
2025-11-03T01:27:48,322.04,32.04,13.11
2025-11-03T01:28:41,314.96,30.02,15.562
2025-11-03T01:29:34,279.56,30.63,14.551
